probability_pct,window_left_pct,window_right_pct,n_samples_window,pct_samples_window,pct_pneumo_window,pct_mitis_window,pct_pseudo_window
66.0,63.5,68.5,37,1.105797967722654,81.08108108108108,18.91891891891892,0.0
67.0,64.5,69.5,40,1.1954572624028692,82.5,17.5,0.0
68.0,65.5,70.5,38,1.1356843992827257,78.94736842105263,21.052631578947366,0.0
69.0,66.5,71.5,36,1.0759115361625822,86.11111111111111,13.88888888888889,0.0
70.0,67.5,72.5,40,1.1954572624028692,95.0,5.0,0.0
71.0,68.5,73.5,50,1.4943215780035863,98.0,2.0,0.0
72.0,69.5,74.5,54,1.6138673042438731,96.29629629629629,3.7037037037037033,0.0
73.0,70.5,75.5,63,1.882845188284519,98.4126984126984,1.5873015873015872,0.0
74.0,71.5,76.5,77,2.301255230125523,98.7012987012987,1.2987012987012987,0.0
75.0,72.5,77.5,86,2.5702331141661685,98.83720930232558,1.1627906976744187,0.0
76.0,73.5,78.5,90,2.6897788404064555,98.88888888888889,1.1111111111111112,0.0
77.0,74.5,79.5,105,3.1380753138075312,100.0,0.0,0.0
78.0,75.5,80.5,128,3.8254632396891806,100.0,0.0,0.0
79.0,76.5,81.5,137,4.094441123729826,100.0,0.0,0.0
80.0,77.5,82.5,143,4.273759713090257,100.0,0.0,0.0
81.0,78.5,83.5,172,5.140466228332337,100.0,0.0,0.0
82.0,79.5,84.5,189,5.648535564853557,100.0,0.0,0.0
83.0,80.5,85.5,204,6.096832038254632,99.50980392156863,0.49019607843137253,0.0
84.0,81.5,86.5,215,6.425582785415421,99.53488372093024,0.46511627906976744,0.0
85.0,82.5,87.5,256,7.650926479378361,99.21875,0.78125,0.0
86.0,83.5,88.5,288,8.607292289300657,99.30555555555556,0.6944444444444444,0.0
87.0,84.5,89.5,323,9.65331739390317,99.07120743034056,0.9287925696594427,0.0
88.0,85.5,90.5,364,10.87866108786611,98.07692307692307,1.9230769230769231,0.0
89.0,86.5,91.5,416,12.432755528989839,98.3173076923077,1.6826923076923077,0.0
90.0,87.5,92.5,450,13.448894202032276,98.44444444444444,1.5555555555555556,0.0
91.0,88.5,93.5,496,14.823670053795576,98.18548387096774,1.8145161290322582,0.0
92.0,89.5,94.5,524,15.660490137477584,98.47328244274809,1.5267175572519083,0.0
93.0,90.5,95.5,567,16.94560669456067,99.29453262786596,0.7054673721340388,0.0
