hover_x_pct,window_left_pct,window_right_pct,n_local,n_true_pneumoniae,n_true_mitis_oralis,real_prob_pneumoniae_pct,real_prob_mitis_oralis_pct,mean_model_probability_pct_in_window,median_model_probability_pct_in_window,min_model_probability_pct_in_window,max_model_probability_pct_in_window
29.0,26.5,31.5,115,16,99,13.91304347826087,86.08695652173914,28.90782608695652,28.799999999999997,26.6,31.4
30.0,27.5,32.5,108,17,91,15.74074074074074,84.25925925925925,29.914814814814818,30.0,27.6,32.4
31.0,28.5,33.5,106,20,86,18.867924528301888,81.13207547169812,31.086792452830185,31.0,28.599999999999998,33.4
32.0,29.5,34.5,105,21,84,20.0,80.0,31.878095238095238,31.8,29.599999999999998,34.4
33.0,30.5,35.5,97,19,78,19.587628865979383,80.41237113402062,32.70927835051546,32.6,30.599999999999998,35.4
34.0,31.5,36.5,87,20,67,22.988505747126435,77.01149425287356,33.75632183908046,33.6,31.6,36.199999999999996
35.0,32.5,37.5,79,17,62,21.518987341772153,78.48101265822784,34.6253164556962,34.4,32.6,37.4
36.0,33.5,38.5,74,18,56,24.324324324324326,75.67567567567568,36.05135135135134,35.8,33.6,38.4
37.0,34.5,39.5,69,13,56,18.84057971014493,81.15942028985508,36.97681159420289,37.2,34.599999999999994,39.4
38.0,35.5,40.5,70,17,53,24.285714285714285,75.71428571428571,37.95428571428571,38.1,35.6,40.400000000000006
39.0,36.5,41.5,73,17,56,23.28767123287671,76.71232876712328,39.13972602739726,38.800000000000004,36.6,41.4
40.0,37.5,42.5,69,17,52,24.637681159420293,75.36231884057972,39.78550724637682,39.800000000000004,37.6,42.4
41.0,38.5,43.5,59,10,49,16.94915254237288,83.05084745762711,40.850847457627125,40.8,38.6,43.4
42.0,39.5,44.5,59,13,46,22.033898305084744,77.96610169491525,41.8135593220339,41.4,39.800000000000004,44.4
43.0,40.5,45.5,54,8,46,14.814814814814813,85.18518518518519,42.7851851851852,42.9,40.6,45.4
44.0,41.5,46.5,44,9,35,20.454545454545457,79.54545454545455,44.113636363636374,44.0,41.8,46.400000000000006
