feature_index,importance
583,0.0003158822634923899
129,0.00031492995764050393
1528,0.00031146189355347103
15744,0.00030842104717187146
6371,0.0003049324076451864
3827,0.00030292359428971
78,0.0003025015645860436
756,0.0003024060462997484
7516,0.0003018380675953473
2053,0.0003005395077186347
5985,0.0002978650323327924
3945,0.0002978122542332518
6450,0.00029776266431889186
6024,0.00029774751957897593
6269,0.00029740659833191684
3944,0.0002954377859508551
62,0.0002928869383737278
6278,0.00029274215841224336
773,0.00029269684007770846
1534,0.000292556024703084
1541,0.00029248261619120846
352,0.00029097097146983344
4974,0.0002909040241621363
3725,0.0002889226330755099
6273,0.0002864821956713042
2055,0.000285106360902119
826,0.0002835402500525911
7562,0.00028280996120928195
243,0.00028001465560312987
6438,0.0002798449450497922
2989,0.00027872415503658
3949,0.00027849713923344015
760,0.00027653403912637753
1492,0.0002762112082657555
2145,0.00027510996250374077
4973,0.0002749282984021924
3884,0.0002746347206357534
6258,0.00027179430177018074
1538,0.0002698796058776786
8157,0.00026868670682852233
1878,0.0002680540806267729
4948,0.00026515282593720264
1024,0.0002637817278435338
2988,0.00026251917404369294
5533,0.00026102364350309
1544,0.00025999163262312354
5975,0.00025998144323253705
14049,0.0002597038244577491
4736,0.0002574033049113247
459,0.0002570315807626927
4847,0.00025690361355627794
6291,0.0002555725806092159
3015,0.0002544859482585125
74,0.00025395545580409937
2423,0.00025315596568194475
6270,0.00025198438087283096
6283,0.00025160858444127755
6271,0.0002511683841192187
7055,0.0002501048630072025
248,0.00024993618360806064
7493,0.0002487042347957926
2440,0.00024866969582986305
5526,0.00024750512852708364
5520,0.0002467048743529894
3874,0.0002458035657097528
4750,0.00024551456203077165
2144,0.00024296838397231798
4950,0.00024251032515948165
2143,0.00024206887807294876
2721,0.00024032982688062076
1532,0.00023898537770244342
6284,0.00023569504046458124
4611,0.00023396862781882566
13630,0.00023311643078346224
4947,0.0002328923926349617
887,0.0002313123588668628
1476,0.0002287524000442217
6289,0.00022764836859466423
3257,0.00022668180686472153
4753,0.00022594085192669913
934,0.00022522622363541246
1373,0.0002246940124245229
776,0.0002241811658235943
3871,0.00022408910906586521
4814,0.00022324468830474048
1483,0.00022317859612431705
370,0.00022316296287813183
6282,0.0002225434844824618
13445,0.0002222473279314417
1509,0.00022142658141987797
5511,0.0002211820078714668
6379,0.00022026954887219405
1375,0.00021964820233821676
913,0.00021873598039488204
2250,0.0002185314284883926
1385,0.00021791970757398957
3870,0.00021712388299448986
4976,0.00021672544761616955
11315,0.00021576839577869484
354,0.00021389254921571043
4191,0.00021159828812050772
2994,0.00020940063831877413
345,0.00020939273421860812
2054,0.00020828643516373636
707,0.0002080003993916464
335,0.00020761780471655118
5997,0.0002075904589577889
2140,0.0002073202365992828
391,0.00020701049322016893
1428,0.00020631415990577783
888,0.0002061444363431365
176,0.00020607121104480476
4964,0.00020572044481069246
1136,0.0002056957898591923
4556,0.00020564723518403687
4685,0.00020531177916549188
2375,0.00020479616429938772
5509,0.00020405097337598666
1864,0.00020389034601261814
4766,0.00020180894718663643
3409,0.0002014865089731424
3811,0.00019818236614210942
579,0.0001980299026141514
1652,0.00019765203687509495
4999,0.00019749172852541683
940,0.00019670757791104209
37,0.0001954925925386124
6276,0.00019528658867514932
4745,0.00019445180600818324
4676,0.0001939861866397949
1480,0.0001922902344779306
6022,0.00019214505837329522
2995,0.00019085763592708555
6019,0.0001905944786495074
6377,0.0001904748380080423
6285,0.0001902540450255772
5716,0.0001888570703780459
7058,0.00018872582781642692
246,0.0001886172348155957
8084,0.00018844193430119646
6255,0.00018769844850355152
6268,0.00018608410458568312
3204,0.00018574626222618042
258,0.00018551327963391566
914,0.00018503184397754068
6441,0.00018473072184783536
3717,0.00018394178183391184
1314,0.00018315667376057575
912,0.00018311787674876777
3292,0.00018301531769217253
901,0.0001822994364375528
7471,0.00018223276138230532
3718,0.0001819924043387654
3816,0.00018151680988288027
1251,0.00018139346694903946
4768,0.00018134018576325203
13524,0.0001807048283608557
4664,0.00018028352430331875
2422,0.0001800360330011926
1875,0.00017974100172525676
5896,0.00017901991543404206
547,0.0001789958647153478
2415,0.00017898649303055484
664,0.0001788898972353797
6372,0.00017877044264490483
1319,0.00017820048940634536
6247,0.00017722625795173061
7049,0.00017661832229093504
3866,0.0001764063073440596
6224,0.0001763913752720876
4627,0.00017620161284302106
5998,0.00017614767349066526
4967,0.00017606316497740743
5895,0.0001760216947954011
4772,0.00017575042915888938
277,0.00017569249075996532
4629,0.00017512296636992486
6298,0.00017480921919433892
2460,0.0001745752946163153
2418,0.0001734282857058441
5136,0.000173303810207214
2216,0.00017268988235330236
